TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,05-MAR-2021,NSE,Buy,CASH,100,209,20986,,20.9,65.48
TRADE,26-FEB-2021,NSE,Buy,CASH,150,207,31178,,31.05,96.92
TRADE,22-FEB-2021,NSE,Buy,CASH,150,207.5,31253,,31.12,97.15
CORPORATE ACTION,22-FEB-2021,DIV,Buy,CASH,1200,4.62,5550,Interim-Dividend of Rs.4.6250/- per share on Ex-Date: 22-FEB-2021,0,0
TRADE,17-FEB-2021,NSE,Buy,CASH,200,217.25,43629,,43.45,135.62
TRADE,05-FEB-2021,NSE,Buy,CASH,300,229,68984,,68.7,215.25
TRADE,01-FEB-2021,NSE,Buy,CASH,250,211,52968,,52.75,165.28
TRADE,29-JAN-2021,NSE,Buy,CASH,75,207,15589,,15.53,48.73
TRADE,24-SEP-2020,NSE,Buy,CASH,6,168.45,1018,,1.01,6.15
TRADE,24-SEP-2020,NSE,Buy,CASH,94,168.45,15947,,15.83,96.38
CORPORATE ACTION,06-JUL-2020,DIV,Buy,CASH,275,10.15,2791,Dividend of Rs.9.3887/- per share on Ex-Date: 06-JUL-2020,0,0
TRADE,19-JUN-2020,NSE,Buy,CASH,25,184.1,4637,,4.6,30.13
TRADE,15-JUN-2020,NSE,Buy,CASH,50,188.5,9491,,9.43,56.88
TRADE,18-MAY-2020,NSE,Buy,CASH,50,166.2,8369,,8.31,50.18
TRADE,06-MAY-2020,NSE,Buy,CASH,50,163,8207,,8.15,49.23
TRADE,25-MAR-2020,NSE,Buy,CASH,100,141,14199,,14.1,85.11
