TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,24-JUN-2022,NSE,Buy,CASH,1,176.99,177,,0.18,0.56
TRADE,24-JUN-2022,NSE,Buy,CASH,47,176.98,8318,,8.28,26.01
TRADE,20-JUN-2022,NSE,Buy,CASH,50,178.8,8940,,8.9,31.19
TRADE,12-MAY-2022,NSE,Buy,CASH,50,167.09,8354,,8.31,31.08
CORPORATE ACTION,21-FEB-2022,DIV,Buy,CASH,1150,5,5750,Interim-Dividend of Rs.5.0000/- per share on Ex-Date: 21-FEB-2022,0,0
TRADE,24-DEC-2021,NSE,Buy,CASH,50,146.76,7338,,7.3,30.76
TRADE,20-DEC-2021,NSE,Buy,CASH,100,142.84,14284,,14.22,44.4
CORPORATE ACTION,06-DEC-2021,DIV,Buy,CASH,1000,9,9000,Interim-Dividend of Rs.9.0000/- per share on Ex-Date: 06-DEC-2021,0,0
TRADE,30-NOV-2021,NSE,Buy,CASH,100,153.83,15383,,15.32,47.83
TRADE,23-NOV-2021,NSE,Buy,CASH,100,156.85,15685,,15.62,48.95
TRADE,18-NOV-2021,NSE,Buy,CASH,64,153.78,9842,,9.8,30.71
TRADE,18-NOV-2021,NSE,Buy,CASH,86,153.78,13225,,13.17,41.27
CORPORATE ACTION,02-SEP-2021,DIV,Buy,CASH,650,3.5,2275,Final-Dividend of Rs.3.5000/- per share on Ex-Date: 02-SEP-2021,0,0
TRADE,17-AUG-2021,NSE,Buy,CASH,50,138.65,6933,,6.89,30.68
TRADE,09-AUG-2021,NSE,Buy,CASH,50,144.26,7213,,7.17,30.83
TRADE,21-JUN-2021,NSE,Buy,CASH,50,145.76,7288,,7.25,30.74
TRADE,12-APR-2021,NSE,Buy,CASH,100,125.57,12557,,12.51,39.18
TRADE,25-MAR-2021,NSE,Buy,CASH,100,129.88,12988,,12.94,40.38
TRADE,22-MAR-2021,NSE,Buy,CASH,100,136.56,13656,,13.6,42.45
CORPORATE ACTION,15-MAR-2021,DIV,Buy,CASH,200,4.62,925,Interim-Dividend of Rs.4.6250/- per share on Ex-Date: 15-MAR-2021,0,0
TRADE,08-MAR-2021,NSE,Buy,CASH,100,153.53,15353,,15.29,47.91
TRADE,18-JAN-2021,NSE,Buy,CASH,100,140.08,14008,,13.95,43.79
