symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
TATAPOWER,INE245A01021,2023-01-27,BSE,EQ,A,buy,false,40.000000,203.350000,10234500,1674810225386263938,2023-01-27T15:26:02
TATAPOWER,INE245A01021,2023-08-30,NSE,EQ,EQ,sell,false,145.000000,247.300000,66897152,1300000032778329,2023-08-30T15:18:29
TATAPOWER,INE245A01021,2023-09-08,NSE,EQ,EQ,sell,false,50.000000,266.900000,61125297,1300000005370253,2023-09-08T09:45:45
TATAPOWER,INE245A01021,2023-09-08,NSE,EQ,EQ,sell,false,50.000000,266.900000,61125298,1300000005370253,2023-09-08T09:45:45
TATAPOWER,INE245A01021,2023-10-26,NSE,EQ,EQ,buy,false,40.000000,233.400000,67166613,1300000039842468,2023-10-26T14:33:31
TATAPOWER,INE245A01021,2023-12-06,BSE,EQ,A,sell,false,200.000000,294.900000,9218100,1701850627290365325,2023-12-06T14:14:30
TATAPOWER,INE245A01021,2023-12-11,NSE,EQ,EQ,sell,false,100.000000,331.050000,65403382,1300000024640641,2023-12-11T13:15:18
TATAPOWER,INE245A01021,2023-12-19,NSE,EQ,EQ,sell,false,100.000000,335.900000,66819561,1300000030860625,2023-12-19T14:12:01
