symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
NATCOPHARM,INE987B01026,2025-01-06,BSE,EQ,A,buy,false,5.000000,1317.550000,12167000,1736148030159551483,2025-01-06T13:40:10
NATCOPHARM,INE987B01026,2025-01-10,BSE,EQ,A,buy,false,3.000000,1269.800000,7048500,1736484978574892645,2025-01-10T11:17:09
NATCOPHARM,INE987B01026,2025-01-10,BSE,EQ,A,buy,false,3.000000,1269.850000,7048800,1736484978574892645,2025-01-10T11:17:09
NATCOPHARM,INE987B01026,2025-01-13,NSE,EQ,EQ,buy,false,1.000000,1220.950000,408373593,1200000068925954,2025-01-13T13:37:44
NATCOPHARM,INE987B01026,2025-01-13,NSE,EQ,EQ,buy,false,1.000000,1220.950000,408373594,1200000068925954,2025-01-13T13:37:44
NATCOPHARM,INE987B01026,2025-01-13,NSE,EQ,EQ,buy,false,1.000000,1220.950000,408373595,1200000068925954,2025-01-13T13:37:44
NATCOPHARM,INE987B01026,2025-01-13,NSE,EQ,EQ,buy,false,1.000000,1220.950000,408373596,1200000068925954,2025-01-13T13:37:44
NATCOPHARM,INE987B01026,2025-01-13,NSE,EQ,EQ,buy,false,1.000000,1220.950000,408373597,1200000068925954,2025-01-13T13:37:44
