symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
AARTIIND,INE769A01020,2023-09-22,NSE,EQ,EQ,buy,false,100.000000,502.300000,4273270,1000000031180681,2023-09-22T14:39:08
AARTIIND,INE769A01020,2023-09-25,BSE,EQ,A,buy,false,15.000000,496.200000,3669200,1695632146103519137,2023-09-25T15:16:52
AARTIIND,INE769A01020,2023-09-28,BSE,EQ,A,buy,false,22.000000,488.600000,5302900,1695889746111182170,2023-09-28T14:20:29
AARTIIND,INE769A01020,2023-09-28,BSE,EQ,A,buy,false,11.000000,486.500000,5479900,1695889746111238230,2023-09-28T14:32:05
AARTIIND,INE769A01020,2023-10-04,BSE,EQ,A,buy,false,6.000000,487.000000,748900,1696390200127002970,2023-10-04T09:31:36
AARTIIND,INE769A01020,2023-10-04,NSE,EQ,EQ,buy,false,4.000000,483.950000,3996902,1000000027402013,2023-10-04T14:14:07
AARTIIND,INE769A01020,2023-10-04,NSE,EQ,EQ,buy,false,2.000000,483.900000,3996901,1000000027402013,2023-10-04T14:14:07
AARTIIND,INE769A01020,2023-10-09,BSE,EQ,A,buy,false,11.000000,473.550000,5340800,1696833895717266752,2023-10-09T12:49:39
AARTIIND,INE769A01020,2023-10-09,BSE,EQ,A,buy,false,2.000000,473.550000,5341400,1696833895717266752,2023-10-09T12:49:39
AARTIIND,INE769A01020,2023-10-09,BSE,EQ,A,buy,false,2.000000,473.550000,5341000,1696833895717266752,2023-10-09T12:49:39
AARTIIND,INE769A01020,2023-10-09,BSE,EQ,A,buy,false,2.000000,473.550000,5341200,1696833895717266752,2023-10-09T12:49:39
AARTIIND,INE769A01020,2023-10-09,BSE,EQ,A,buy,false,2.000000,473.550000,5340600,1696833895717266752,2023-10-09T12:49:39
AARTIIND,INE769A01020,2023-10-09,BSE,EQ,A,buy,false,1.000000,473.550000,5341600,1696833895717266752,2023-10-09T12:49:39
AARTIIND,INE769A01020,2023-10-16,NSE,EQ,EQ,buy,false,2.000000,491.100000,3702831,1000000025675489,2023-10-16T14:55:25
AARTIIND,INE769A01020,2023-10-23,BSE,EQ,A,buy,false,18.000000,467.950000,2781800,1698036592052223348,2023-10-23T10:36:55
AARTIIND,INE769A01020,2023-10-25,NSE,EQ,EQ,buy,false,12.000000,452.250000,5119374,1000000040614872,2023-10-25T14:49:49
AARTIIND,INE769A01020,2023-10-26,BSE,EQ,A,buy,false,12.000000,440.950000,7379700,1698307308482667755,2023-10-26T14:16:24
AARTIIND,INE769A01020,2023-10-26,BSE,EQ,A,buy,false,12.000000,441.350000,7715400,1698307308482911081,2023-10-26T14:34:29
AARTIIND,INE769A01020,2023-12-20,NSE,EQ,EQ,buy,false,1.000000,574.850000,7678856,1000000042638001,2023-12-20T15:07:11
AARTIIND,INE769A01020,2023-12-20,NSE,EQ,EQ,buy,false,8.000000,574.900000,7678857,1000000042638001,2023-12-20T15:07:11
