symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HAPPSTMNDS,INE419U01012,2021-09-17,NSE,EQ,EQ,buy,false,40.000000,1499.000000,32826721,1100000024367558,2021-09-17T15:25:52
HAPPSTMNDS-BE,INE419U01012,2021-09-28,NSE,EQ,BE,buy,false,5.000000,1400.000000,29856460,1100000013815733,2021-09-28T13:23:29
HAPPSTMNDS-T,INE419U01012,2021-09-29,BSE,EQ,T,buy,false,5.000000,1385.000000,9464100,1632886200000257466,2021-09-29T14:25:49
HAPPSTMNDS-BE,INE419U01012,2021-10-25,NSE,EQ,BE,buy,false,10.000000,1284.100000,31969010,1100000023095138,2021-10-25T14:05:17
HAPPSTMNDS-BE,INE419U01012,2021-11-17,NSE,EQ,BE,buy,false,10.000000,1277.000000,29793485,1100000015009347,2021-11-17T15:06:00
HAPPSTMNDS-BE,INE419U01012,2021-12-17,NSE,EQ,BE,buy,false,10.000000,1255.050000,27662849,1100000009180852,2021-12-17T11:01:41
HAPPSTMNDS-BE,INE419U01012,2021-12-20,NSE,EQ,BE,buy,false,10.000000,1200.100000,27814085,1100000010003454,2021-12-20T10:50:50
HAPPSTMNDS-BE,INE419U01012,2021-12-22,NSE,EQ,BE,buy,false,5.000000,1216.000000,27858415,1100000011047697,2021-12-22T13:14:46
